Subject_ID,Time,Frame,X-coord,Y-coord,Saccade,Tag
demo,9676.333333,290,394,382,0,looking
demo,9709.7,291,426,375,0,looking
demo,9743.066667,292,450,363,0,looking
demo,9776.433333,293,480,349,0,looking
demo,9809.8,294,505,330,0,looking
demo,9843.166667,295,527,306,0,looking
demo,9876.533333,296,525,283,0,looking
demo,9909.9,297,516,261,0,looking
demo,9943.266667,298,514,240,0,looking
demo,9976.633333,299,503,222,0,looking
demo,10010,300,491,206,0,looking
demo,10043.36667,301,482,193,0,looking
demo,10076.73333,302,478,179,0,looking
demo,10110.1,303,478,169,0,looking
demo,10143.46667,304,458,160,0,looking
demo,10176.83333,305,437,149,0,looking
demo,10210.2,306,429,140,0,looking
demo,10243.56667,307,419,131,0,looking
demo,10276.93333,308,404,123,0,looking
demo,10310.3,309,379,114,0,looking
demo,10343.66667,310,372,105,0,looking
demo,10377.03333,311,378,100,0,looking
demo,10410.4,312,381,94,0,looking
demo,10443.76667,313,377,89,0,looking
demo,10477.13333,314,384,85,0,looking
demo,10510.5,315,393,82,0,looking
demo,10543.86667,316,405,81,0,looking
demo,10577.23333,317,415,80,0,looking
demo,10610.6,318,416,77,0,looking
demo,10643.96667,319,430,77,0,looking
demo,10677.33333,320,430,75,0,looking
demo,10710.7,321,434,74,0,looking
demo,10744.06667,322,429,75,0,looking
demo,10777.43333,323,423,73,0,looking
demo,10810.8,324,421,72,0,looking
demo,10844.16667,325,421,71,0,looking
demo,10877.53333,326,421,71,0,looking
demo,10910.9,327,424,72,0,looking
demo,10944.26667,328,426,73,0,looking
demo,10977.63333,329,441,77,0,looking
demo,11011,330,436,82,0,looking
demo,11044.36667,331,425,87,0,looking
demo,11077.73333,332,431,94,0,looking
demo,11111.1,333,437,98,0,looking
demo,11144.46667,334,435,103,0,looking
demo,11177.83333,335,427,104,0,looking
demo,11211.2,336,437,106,0,looking
demo,11244.56667,337,450,105,0,looking
demo,11277.93333,338,450,104,0,looking
demo,11311.3,339,442,105,0,looking
demo,11344.66667,340,451,106,0,looking
demo,11378.03333,341,449,107,0,looking
demo,11411.4,342,452,109,0,looking
demo,11444.76667,343,442,113,0,looking
demo,11478.13333,344,445,114,0,looking
demo,11511.5,345,452,116,0,looking
demo,11544.86667,346,452,117,0,looking
demo,11578.23333,347,463,116,0,looking
demo,11611.6,348,464,115,0,looking
demo,11644.96667,349,477,114,0,looking
demo,11678.33333,350,468,112,0,looking
demo,11711.7,351,468,111,0,looking
demo,11745.06667,352,456,108,0,looking
demo,11778.43333,353,443,106,0,looking
demo,11811.8,354,432,104,0,looking
demo,11845.16667,355,413,102,0,looking
demo,11878.53333,356,410,101,0,looking
demo,11911.9,357,407,99,0,looking
demo,11945.26667,358,419,97,0,looking
demo,11978.63333,359,426,98,0,looking
demo,12012,360,437,98,0,looking
demo,12045.36667,361,452,98,0,looking
demo,12078.73333,362,459,99,0,looking
demo,12112.1,363,459,102,0,looking
demo,12145.46667,364,459,104,0,looking
demo,12178.83333,365,454,106,0,looking
demo,12212.2,366,450,108,0,looking
demo,12245.56667,367,446,110,0,looking
demo,12278.93333,368,450,112,0,looking
demo,12312.3,369,443,113,0,looking
demo,12345.66667,370,436,114,0,looking
demo,12379.03333,371,433,115,0,looking
demo,12412.4,372,421,118,0,looking
demo,12445.76667,373,418,121,0,looking
demo,12479.13333,374,412,124,0,looking
demo,12512.5,375,421,127,0,looking
demo,12545.86667,376,430,132,0,looking
demo,12579.23333,377,446,135,0,looking
demo,12612.6,378,465,136,0,looking
demo,12645.96667,379,474,140,0,looking
demo,12679.33333,380,475,140,0,looking
demo,12712.7,381,463,141,0,looking
demo,12746.06667,382,447,138,0,looking
demo,12779.43333,383,443,138,0,looking
demo,12812.8,384,438,138,0,looking
demo,12846.16667,385,426,134,0,looking
demo,12879.53333,386,422,133,0,looking
demo,12912.9,387,428,130,0,looking
demo,12946.26667,388,443,128,0,looking
demo,12979.63333,389,444,126,0,looking
demo,13013,390,442,124,0,looking
demo,13046.36667,391,438,122,0,looking
demo,13079.73333,392,446,121,0,looking
demo,13113.1,393,448,118,0,looking
demo,13146.46667,394,441,119,0,looking
demo,13179.83333,395,437,123,0,looking
demo,13213.2,396,420,128,0,looking
demo,13246.56667,397,422,133,0,looking
demo,13279.93333,398,414,143,0,looking
demo,13313.3,399,406,150,0,looking
demo,13346.66667,400,406,153,0,looking
demo,13380.03333,401,396,157,0,looking
demo,13413.4,402,386,162,0,looking
demo,13446.76667,403,366,165,0,looking
demo,13480.13333,404,342,162,0,looking
demo,13513.5,405,322,163,0,looking
demo,13546.86667,406,309,164,0,looking
demo,13580.23333,407,288,165,0,looking
demo,13613.6,408,296,164,0,looking
demo,13646.96667,409,304,164,0,looking
demo,13680.33333,410,309,165,0,looking
demo,13713.7,411,312,168,0,looking
demo,13747.06667,412,299,167,0,looking
demo,13780.43333,413,309,166,0,looking
demo,13813.8,414,313,167,0,looking
demo,13847.16667,415,317,165,0,looking
demo,13880.53333,416,321,167,0,looking
demo,13913.9,417,337,166,0,looking
demo,13947.26667,418,342,167,0,looking
demo,13980.63333,419,346,168,0,looking
demo,14014,420,337,168,0,looking
demo,14047.36667,421,332,169,0,looking
demo,14080.73333,422,331,168,0,looking
demo,14114.1,423,323,169,0,looking
demo,14147.46667,424,334,166,0,looking
demo,14180.83333,425,337,163,0,looking
demo,14214.2,426,361,161,0,looking
demo,14247.56667,427,380,157,0,looking
demo,14280.93333,428,384,155,0,looking
demo,14314.3,429,395,154,0,looking
demo,14347.66667,430,395,152,0,looking
demo,14381.03333,431,407,151,0,looking
demo,14414.4,432,391,150,0,looking
demo,14447.76667,433,388,150,0,looking
demo,14481.13333,434,394,149,0,looking
demo,14514.5,435,387,146,0,looking
demo,14547.86667,436,383,148,0,looking
demo,14581.23333,437,370,147,0,looking
demo,14614.6,438,367,148,0,looking
demo,14647.96667,439,356,148,0,looking
demo,14681.33333,440,342,150,0,looking
demo,14714.7,441,343,154,0,looking
demo,14748.06667,442,351,160,0,looking
demo,14781.43333,443,363,165,0,looking
demo,14814.8,444,371,173,0,looking
demo,14848.16667,445,374,177,0,looking
demo,14881.53333,446,399,180,0,looking
demo,14914.9,447,405,181,0,looking
demo,14948.26667,448,406,180,0,looking
demo,14981.63333,449,390,182,0,looking
demo,15015,450,391,181,0,looking
demo,15048.36667,451,403,184,0,looking
demo,15081.73333,452,398,182,0,looking
demo,15115.1,453,390,181,0,looking
demo,15148.46667,454,397,179,0,looking
demo,15181.83333,455,407,176,0,looking
demo,15215.2,456,406,172,0,looking
demo,15248.56667,457,396,169,0,looking
demo,15281.93333,458,394,169,0,looking
demo,15315.3,459,407,167,0,looking
demo,15348.66667,460,407,169,0,looking
demo,15382.03333,461,411,170,0,looking
demo,15415.4,462,420,171,0,looking
demo,15448.76667,463,417,172,0,looking
demo,15482.13333,464,411,171,0,looking
demo,15515.5,465,404,172,0,looking
demo,15548.86667,466,399,168,0,looking
demo,15582.23333,467,412,167,0,looking
demo,15615.6,468,418,166,0,looking
demo,15648.96667,469,428,168,0,looking
demo,15682.33333,470,442,169,0,looking
demo,15715.7,471,446,170,0,looking
demo,15749.06667,472,449,173,0,looking
demo,15782.43333,473,425,177,0,looking
demo,15815.8,474,406,179,0,looking
demo,15849.16667,475,386,179,0,looking
demo,15882.53333,476,381,180,0,looking
demo,15915.9,477,364,183,0,looking
demo,15949.26667,478,357,180,0,looking
demo,15982.63333,479,366,178,0,looking
demo,16016,480,380,177,0,looking
demo,16049.36667,481,403,174,0,looking
demo,16082.73333,482,397,173,0,looking
demo,16116.1,483,417,169,0,looking
demo,16149.46667,484,416,166,0,looking
demo,16182.83333,485,412,162,0,looking
demo,16216.2,486,398,158,0,looking
demo,16249.56667,487,398,155,0,looking
demo,16282.93333,488,399,151,0,looking
demo,16316.3,489,383,150,0,looking
demo,16349.66667,490,391,151,0,looking
demo,16383.03333,491,400,152,0,looking
demo,16416.4,492,411,159,0,looking
demo,16449.76667,493,418,164,0,looking
demo,16483.13333,494,416,169,0,looking
demo,16516.5,495,425,173,0,looking
demo,16549.86667,496,421,177,0,looking
demo,16583.23333,497,426,179,0,looking
demo,16616.6,498,432,177,0,looking
demo,16649.96667,499,413,179,0,looking
demo,16683.33333,500,418,179,0,looking
demo,16716.7,501,422,179,0,looking
demo,16750.06667,502,423,180,0,looking
demo,16783.43333,503,420,180,0,looking
demo,16816.8,504,407,181,0,looking
demo,16850.16667,505,407,179,0,looking
demo,16883.53333,506,402,177,0,looking
demo,16916.9,507,405,176,0,looking
demo,16950.26667,508,399,173,0,looking
demo,16983.63333,509,401,170,0,looking
demo,17017,510,406,167,0,looking
demo,17050.36667,511,411,163,0,looking
demo,17083.73333,512,414,159,0,looking
demo,17117.1,513,416,156,0,looking
demo,17150.46667,514,424,158,0,looking
demo,17183.83333,515,418,161,0,looking
demo,17217.2,516,408,166,0,looking
demo,17250.56667,517,317,246,0,looking
demo,17283.93333,518,314,323,0,looking
demo,17317.3,519,352,349,0,looking
demo,17350.66667,520,361,361,0,looking
demo,17384.03333,521,396,379,0,looking
demo,17417.4,522,402,392,0,looking
demo,17450.76667,523,420,430,0,looking
demo,17484.13333,524,448,443,0,looking
demo,17517.5,525,463,455,0,looking
demo,17550.86667,526,485,468,0,looking
demo,17584.23333,527,476,471,0,looking
demo,17617.6,528,481,467,0,looking
demo,17650.96667,529,502,457,0,looking
demo,17684.33333,530,502,445,0,looking
demo,17717.7,531,503,427,0,looking
demo,17751.06667,532,505,408,0,looking
demo,17784.43333,533,510,386,0,looking
demo,17817.8,534,522,369,0,looking
demo,17851.16667,535,518,350,0,looking
demo,17884.53333,536,524,341,0,looking
demo,17917.9,537,832,293,1,saccade
demo,17951.26667,538,821,362,0,looking
demo,17984.63333,539,795,348,0,looking
demo,18018,540,791,338,0,looking
demo,18051.36667,541,788,332,0,looking
demo,18084.73333,542,769,327,0,looking
demo,18118.1,543,774,322,0,looking
demo,18151.46667,544,776,278,0,looking
demo,18184.83333,545,785,265,0,looking
demo,18218.2,546,781,250,0,looking
demo,18251.56667,547,772,235,0,looking
demo,18284.93333,548,776,223,0,looking
demo,18318.3,549,754,211,0,looking
demo,18351.66667,550,735,201,0,looking
demo,18385.03333,551,700,194,0,looking
demo,18418.4,552,692,191,0,looking
demo,18451.76667,553,453,191,1,saccade
demo,18485.13333,554,446,281,0,looking
demo,18518.5,555,455,276,0,looking
demo,18551.86667,556,460,280,0,looking
demo,18585.23333,557,463,285,0,looking
demo,18618.6,558,462,301,0,looking
demo,18651.96667,559,468,318,0,looking
demo,18685.33333,560,460,289,0,looking
demo,18718.7,561,456,294,0,looking
demo,18752.06667,562,452,293,0,looking
demo,18785.43333,563,420,287,0,looking
demo,18818.8,564,394,285,0,looking
demo,18852.16667,565,261,264,0,looking
demo,18885.53333,566,300,263,0,looking
demo,18918.9,567,313,267,0,looking
demo,18952.26667,568,316,269,0,looking
demo,18985.63333,569,307,270,0,looking
demo,19019,570,321,269,0,looking
demo,19052.36667,571,335,271,0,looking
demo,19085.73333,572,337,270,0,looking
demo,19119.1,573,332,267,0,looking
demo,19152.46667,574,335,265,0,looking
demo,19185.83333,575,374,266,0,looking
demo,19219.2,576,391,274,0,looking
demo,19252.56667,577,407,279,0,looking
demo,19285.93333,578,428,291,0,looking
demo,19319.3,579,459,305,0,looking
demo,19352.66667,580,489,316,0,looking
demo,19386.03333,581,487,322,0,looking
demo,19419.4,582,720,323,1,saccade
demo,19452.76667,583,757,389,0,looking
demo,19486.13333,584,757,377,0,looking
demo,19519.5,585,762,370,0,looking
demo,19552.86667,586,746,367,0,looking
demo,19586.23333,587,748,364,0,looking
demo,19619.6,588,754,357,0,looking
demo,19652.96667,589,741,316,0,looking
demo,19686.33333,590,738,313,0,looking
demo,19719.7,591,460,282,1,saccade
demo,19753.06667,592,465,355,0,looking
demo,19786.43333,593,467,347,0,looking
demo,19819.8,594,458,348,0,looking
demo,19853.16667,595,447,348,0,looking
demo,19886.53333,596,440,353,0,looking
demo,19919.9,597,431,356,0,looking
demo,19953.26667,598,417,322,0,looking
demo,19986.63333,599,411,315,0,looking
demo,20020,600,408,309,0,looking
demo,20053.36667,601,395,299,0,looking
demo,20086.73333,602,191,288,1,saccade
demo,20120.1,603,195,365,0,looking
demo,20153.46667,604,202,359,0,looking
demo,20186.83333,605,196,358,0,looking
demo,20220.2,606,209,360,0,looking
demo,20253.56667,607,195,368,0,looking
demo,20286.93333,608,213,375,0,looking
demo,20320.3,609,226,342,0,looking
demo,20353.66667,610,227,343,0,looking
demo,20387.03333,611,451,325,1,saccade
demo,20420.4,612,437,400,0,looking
demo,20453.76667,613,434,398,0,looking
demo,20487.13333,614,425,399,0,looking
demo,20520.5,615,423,405,0,looking
demo,20553.86667,616,410,417,0,looking
demo,20587.23333,617,406,428,0,looking
demo,20620.6,618,405,408,0,looking
demo,20653.96667,619,432,405,0,looking
demo,20687.33333,620,668,377,1,saccade
demo,20720.7,621,658,439,0,looking
demo,20754.06667,622,655,426,0,looking
demo,20787.43333,623,670,421,0,looking
demo,20820.8,624,671,416,0,looking
demo,20854.16667,625,671,413,0,looking
demo,20887.53333,626,635,411,0,looking
demo,20920.9,627,635,385,0,looking
demo,20954.26667,628,606,376,0,looking
demo,20987.63333,629,561,366,0,looking
demo,21021,630,533,356,0,looking
demo,21054.36667,631,503,347,0,looking
demo,21087.73333,632,497,339,0,looking
demo,21121.1,633,470,320,0,looking
demo,21154.46667,634,456,312,0,looking
demo,21187.83333,635,435,304,0,looking
demo,21221.2,636,405,295,0,looking
demo,21254.56667,637,395,289,0,looking
demo,21287.93333,638,373,284,0,looking
demo,21321.3,639,354,281,0,looking
demo,21354.66667,640,348,281,0,looking
demo,21388.03333,641,357,280,0,looking
demo,21421.4,642,363,282,0,looking
demo,21454.76667,643,365,286,0,looking
demo,21488.13333,644,372,290,0,looking
demo,21521.5,645,370,292,0,looking
demo,21554.86667,646,363,294,0,looking
demo,21588.23333,647,354,300,0,looking
demo,21621.6,648,364,305,0,looking
demo,21654.96667,649,378,311,0,looking
demo,21688.33333,650,392,319,0,looking
demo,21721.7,651,412,328,0,looking
demo,21755.06667,652,428,339,0,looking
demo,21788.43333,653,456,347,0,looking
demo,21821.8,654,470,352,0,looking
demo,21855.16667,655,472,361,0,looking
demo,21888.53333,656,477,366,0,looking
demo,21921.9,657,481,371,0,looking
demo,21955.26667,658,519,369,0,looking
demo,21988.63333,659,534,365,0,looking
demo,22022,660,534,360,0,looking
demo,22055.36667,661,553,349,0,looking
demo,22088.73333,662,560,338,0,looking
demo,22122.1,663,552,326,0,looking
demo,22155.46667,664,522,317,0,looking
demo,22188.83333,665,496,306,0,looking
demo,22222.2,666,494,295,0,looking
demo,22255.56667,667,463,285,0,looking
demo,22288.93333,668,451,274,0,looking
demo,22322.3,669,453,264,0,looking
demo,22355.66667,670,439,255,0,looking
demo,22389.03333,671,435,246,0,looking
demo,22422.4,672,398,243,0,looking
demo,22455.76667,673,380,241,0,looking
demo,22489.13333,674,348,241,0,looking
demo,22522.5,675,318,242,0,looking
demo,22555.86667,676,292,246,0,looking
demo,22589.23333,677,270,254,0,looking
demo,22622.6,678,242,259,0,looking
demo,22655.96667,679,237,265,0,looking
demo,22689.33333,680,226,275,0,looking
demo,22722.7,681,230,284,0,looking
demo,22756.06667,682,462,325,1,saccade
demo,22789.43333,683,484,404,0,looking
demo,22822.8,684,486,403,0,looking
demo,22856.16667,685,483,400,0,looking
demo,22889.53333,686,486,404,0,looking
demo,22922.9,687,493,413,0,looking
demo,22956.26667,688,493,426,0,looking
demo,22989.63333,689,484,397,0,looking
demo,23023,690,482,396,0,looking
demo,23056.36667,691,456,394,0,looking
demo,23089.73333,692,431,384,0,looking
demo,23123.1,693,410,377,0,looking
demo,23156.46667,694,398,370,0,looking
demo,23189.83333,695,381,361,0,looking
demo,23223.2,696,363,349,0,looking
demo,23256.56667,697,364,340,0,looking
demo,23289.93333,698,348,333,0,looking
demo,23323.3,699,350,327,0,looking
demo,23356.66667,700,346,318,0,looking
demo,23390.03333,701,337,313,0,looking
demo,23423.4,702,337,307,0,looking
demo,23456.76667,703,349,302,0,looking
demo,23490.13333,704,373,296,0,looking
demo,23523.5,705,371,291,0,looking
demo,23556.86667,706,371,289,0,looking
demo,23590.23333,707,382,286,0,looking
demo,23623.6,708,387,285,0,looking
